outbreak_country,time,daily_mean_imports,mean_detection_time,R0,generation_time,p_det,gamma_cumulative_shape,gamma_cumulative_rate
Switzerland,52,5.181635715297531,40.729413521682616,1.5,4,0.04,6.847036979142756,0.1359776041661106
Switzerland,53,5.7291498220574155,40.729413521682616,1.5,4,0.04,7.00622212552901,0.1251296276151877
Switzerland,54,6.334559635905634,40.729413521682616,1.5,4,0.04,7.031269683051754,0.11379754118965574
Switzerland,55,7.00399187388949,40.729413521682616,1.5,4,0.04,7.15074096670888,0.10424984689337084
Switzerland,56,7.7442221253636205,40.729413521682616,1.5,4,0.04,7.1413139345192445,0.09448175283875761
Switzerland,57,8.562743615989291,40.729413521682616,1.5,4,0.04,7.194446938256529,0.0860339852535629
Switzerland,58,9.467843268875356,40.729413521682616,1.5,4,0.04,7.282659221739128,0.07853324027173911
Switzerland,59,10.468685842072887,40.729413521682616,1.5,4,0.04,7.3829771311603025,0.07171884417034048
Switzerland,60,11.575407004210376,40.729413521682616,1.5,4,0.04,7.355975493226325,0.06485689278802372
Switzerland,61,12.799216270484393,40.729413521682616,1.5,4,0.04,7.335378765102333,0.05866091449168827
Switzerland,62,14.1525108539077,40.729413521682616,1.5,4,0.04,7.415089739359382,0.05345908116132818
Switzerland,63,15.649001641217751,40.729413521682616,1.5,4,0.04,7.4615639950694135,0.04858318793285273
Switzerland,64,17.303852463493257,40.729413521682616,1.5,4,0.04,7.472086417049329,0.044027798755437615
Switzerland,65,19.133834232159558,40.729413521682616,1.5,4,0.04,7.445095596360231,0.03978454071827303
Switzerland,66,21.157495378978666,40.729413521682616,1.5,4,0.04,7.52471880414775,0.036248437800820835
Switzerland,67,23.395350402003203,40.729413521682616,1.5,4,0.04,7.556523982630151,0.03294735669663392
Switzerland,68,25.870088444122246,40.729413521682616,1.5,4,0.04,7.6320520160471075,0.030145690982032305
Switzerland,69,28.60680400140717,40.729413521682616,1.5,4,0.04,7.7957767552404595,0.027966159486586255
Switzerland,70,31.63325212651239,40.729413521682616,1.5,4,0.04,8.180908105595975,0.026694825671360504
Switzerland,71,34.98013075084111,40.729413521682616,1.5,4,0.04,8.859952391926296,0.026464486168102007
Switzerland,72,38.68139296228071,40.729413521682616,1.5,4,0.04,10.137810567498589,0.027774500205162884
Switzerland,73,42.774592479187106,40.729413521682616,1.5,4,0.04,12.24255719099724,0.030971231931121876
Switzerland,74,47.30126577454797,40.729413521682616,1.5,4,0.04,15.95796716445777,0.037208873543427286
Switzerland,75,52.307354853517154,40.729413521682616,1.5,4,0.04,22.295667322686853,0.04796321469073615
Switzerland,76,57.843674886224676,40.729413521682616,1.5,4,0.04,33.63858096014374,0.06647368830986505
Switzerland,77,63.96643155620063,40.729413521682616,1.5,4,0.04,44.219898181785695,0.08661302240838817
Switzerland,78,70.73779335807751,40.729413521682616,1.5,4,0.04,53.629096618690895,0.10546913150038255
Switzerland,79,78.22652473591597,40.729413521682616,1.5,4,0.04,62.38890374010367,0.12302385519058852
Switzerland,80,86.50868646006745,40.729413521682616,1.5,4,0.04,70.1458260723592,0.13856878972416672
Switzerland,81,95.66841048936476,40.729413521682616,1.5,4,0.04,76.69319958435327,0.15168977872615885
Switzerland,82,105.7987571468716,40.729413521682616,1.5,4,0.04,81.95292443508824,0.1622303094891548
Switzerland,83,117.00266343401563,40.729413521682616,1.5,4,0.04,85.94421707095447,0.17022889192576046
Switzerland,84,129.39399214807622,40.729413521682616,1.5,4,0.04,88.74939578150916,0.17585049254811455
Switzerland,85,143.09869253464672,40.729413521682616,1.5,4,0.04,90.48386174251563,0.17932637623750627
Switzerland,86,158.25608434153878,40.729413521682616,1.5,4,0.04,91.2739784099115,0.18090977637256814
Switzerland,87,175.02027842908706,40.729413521682616,1.5,4,0.04,91.24328798386817,0.18084827251276187
Switzerland,88,193.56174839140954,40.729413521682616,1.5,4,0.04,90.50560933272928,0.1793699585826238
Switzerland,89,214.0690693945171,40.729413521682616,1.5,4,0.04,89.16284305118945,0.17667904419076044
Switzerland,90,236.75084192158602,40.729413521682616,1.5,4,0.04,87.30545254494544,0.17295681872734556
Switzerland,91,261.8378201103442,40.729413521682616,1.5,4,0.04,85.01410561066125,0.16836494110352956
Switzerland,92,289.58526656224694,40.729413521682616,1.5,4,0.04,82.36152544475645,0.16304914918788868
Switzerland,93,320.27555764564386,40.729413521682616,1.5,4,0.04,79.41404568598843,0.1571423761242253
Switzerland,94,354.22106598226037,40.729413521682616,1.5,4,0.04,76.23271595363023,0.15076696583893834
Switzerland,95,391.7673496830457,40.729413521682616,1.5,4,0.04,72.87390398830281,0.1440358797360778
Switzerland,96,433.29668095766147,40.729413521682616,1.5,4,0.04,69.38955680941679,0.13705322005895149
Switzerland,97,479.23195026543635,40.729413521682616,1.5,4,0.04,65.82719893553576,0.12991422632371896
Switzerland,98,530.0409860738318,40.729413521682616,1.5,4,0.04,62.229810971179965,0.12270503200637267
Switzerland,99,586.2413343688677,40.729413521682616,1.5,4,0.04,58.63570233622009,0.11550240949142303
Switzerland,100,648.4055470948715,40.729413521682616,1.5,4,0.04,55.07840015016968,0.10837354739512961
Switzerland,101,717.1670336466741,40.729413521682616,1.5,4,0.04,51.58667579922378,0.10137610380605967
Switzerland,102,793.2265354864448,40.729413521682616,1.5,4,0.04,48.18463002851866,0.09455837681065864
Switzerland,103,877.3592903330446,40.729413521682616,1.5,4,0.04,44.89190770061542,0.08795973487097279
Switzerland,104,970.4229594793869,40.729413521682616,1.5,4,0.04,,
Switzerland,105,1073.3663996545547,40.729413521682616,1.5,4,0.04,,
Switzerland,106,1187.2393695849914,40.729413521682616,1.5,4,0.04,,
Switzerland,107,1313.203271017299,40.729413521682616,1.5,4,0.04,,
Switzerland,108,1452.5430347630718,40.729413521682616,1.5,4,0.04,,
Switzerland,109,1606.6802740798848,40.729413521682616,1.5,4,0.04,,
Switzerland,110,1777.187841005678,40.729413521682616,1.5,4,0.04,,
Switzerland,111,1965.8059357040438,40.729413521682616,1.5,4,0.04,,
Switzerland,112,2174.459935259776,40.729413521682616,1.5,4,0.04,,
Switzerland,113,2405.280126292688,40.729413521682616,1.5,4,0.04,,
Switzerland,114,2660.623545810842,40.729413521682616,1.5,4,0.04,,
Switzerland,115,2943.098157080709,40.729413521682616,1.5,4,0.04,,
Switzerland,116,3255.5896120408725,40.729413521682616,1.5,4,0.04,,
Switzerland,117,3601.2908797173586,40.729413521682616,1.5,4,0.04,,
Switzerland,118,3983.7350509389,40.729413521682616,1.5,4,0.04,,
Switzerland,119,4406.831664504658,40.729413521682616,1.5,4,0.04,,
Switzerland,120,4874.906939111606,40.729413521682616,1.5,4,0.04,,
Switzerland,0,0.02479675692557107,34.44588178666102,1.5,4,0.08,,
Switzerland,1,0.03160521400147204,34.44588178666102,1.5,4,0.08,,
Switzerland,2,0.034891428302150314,34.44588178666102,1.5,4,0.08,,
Switzerland,3,0.03792822655945395,34.44588178666102,1.5,4,0.08,,
Switzerland,4,0.04199991177066725,34.44588178666102,1.5,4,0.08,,
Switzerland,5,0.04651290635980984,34.44588178666102,1.5,4,0.08,,
Switzerland,6,0.05139078018688617,34.44588178666102,1.5,4,0.08,,
Switzerland,7,0.05679317205407397,34.44588178666102,1.5,4,0.08,,
Switzerland,8,0.06278085384889526,34.44588178666102,1.5,4,0.08,,
Switzerland,9,0.06939640373456613,34.44588178666102,1.5,4,0.08,,
Switzerland,10,0.07670734147864156,34.44588178666102,1.5,4,0.08,,
Switzerland,11,0.0847898148914007,34.44588178666102,1.5,4,0.08,,
Switzerland,12,0.09372472364868722,34.44588178666102,1.5,4,0.08,,
Switzerland,13,0.10360162905332171,34.44588178666102,1.5,4,0.08,,
Switzerland,14,0.11452004827757667,34.44588178666102,1.5,4,0.08,,
Switzerland,15,0.1265899334244346,34.44588178666102,1.5,4,0.08,,
Switzerland,16,0.13993277236920165,34.44588178666102,1.5,4,0.08,1.9658485787052673,0.9658485787052673
Switzerland,17,0.15468290087660863,34.44588178666102,1.5,4,0.08,1.9373902703675256,0.9373902703675256
Switzerland,18,0.1709888622354323,34.44588178666102,1.5,4,0.08,1.8849725182800279,0.8849725182800279
Switzerland,19,0.18901487613905932,34.44588178666102,1.5,4,0.08,1.812438647861628,0.8124386478616279
Switzerland,20,0.20894250318737173,34.44588178666102,1.5,4,0.08,1.725226745260087,0.7252267452600869
Switzerland,21,0.23097249945877052,34.44588178666102,1.5,4,0.08,1.6296738798423882,0.6296738798423882
Switzerland,22,0.255326812635694,34.44588178666102,1.5,4,0.08,2.7687460865309808,0.8843730432654904
Switzerland,23,0.282250844084023,34.44588178666102,1.5,4,0.08,2.6720231109944876,0.8360115554972438
Switzerland,24,0.3120159363077075,34.44588178666102,1.5,4,0.08,2.5137995728458535,0.7568997864229268
Switzerland,25,0.34492207562029975,34.44588178666102,1.5,4,0.08,2.3128801640103887,0.6564400820051943
Switzerland,26,0.3813009781762462,34.44588178666102,1.5,4,0.08,3.3724419594338158,0.7908139864779385
Switzerland,27,0.4215193947163587,34.44588178666102,1.5,4,0.08,3.162891340250563,0.720963780083521
Switzerland,28,0.4659828461906592,34.44588178666102,1.5,4,0.08,2.867206218250267,0.6224020727500891
Switzerland,29,0.5151397116550838,34.44588178666102,1.5,4,0.08,3.7939568490678472,0.6984892122669618
Switzerland,30,0.5694857693056612,34.44588178666102,1.5,4,0.08,3.4513512908646287,0.6128378227161572
Switzerland,31,0.6295692000316899,34.44588178666102,1.5,4,0.08,4.214934895920715,0.6429869791841429
Switzerland,32,0.6959961361437257,34.44588178666102,1.5,4,0.08,3.7949225418107133,0.5589845083621426
Switzerland,33,0.7694368016841677,34.44588178666102,1.5,4,0.08,4.422069096714603,0.5703448494524338
Switzerland,34,0.850632277238013,34.44588178666102,1.5,4,0.08,4.898787258576534,0.5569696083680763
Switzerland,35,0.9404020052625768,34.44588178666102,1.5,4,0.08,4.366442648729685,0.48092037838995505
Switzerland,36,1.0396520911139113,34.44588178666102,1.5,4,0.08,4.733842127747718,0.4667302659684648
Switzerland,37,1.1493844560028315,34.44588178666102,1.5,4,0.08,4.993512111574626,0.4437235679527362
Switzerland,38,1.2707069910944124,34.44588178666102,1.5,4,0.08,5.156154674479746,0.41561546744797456
Switzerland,39,1.4048447754790843,34.44588178666102,1.5,4,0.08,5.226662425207782,0.3842420386552529
Switzerland,40,1.5531524702021997,34.44588178666102,1.5,4,0.08,5.91736051381251,0.3782585010625008
Switzerland,41,1.717128035402478,34.44588178666102,1.5,4,0.08,5.815824373607433,0.34398745525767377
Switzerland,42,1.8984279280984282,34.44588178666102,1.5,4,0.08,5.614587266639001,0.3076391511092667
Switzerland,43,2.0988838424086005,34.44588178666102,1.5,4,0.08,5.959118263057428,0.29171283900337813
Switzerland,44,2.3205212916857967,34.44588178666102,1.5,4,0.08,6.161634794605702,0.27166498918977383
Switzerland,45,2.5655801252709374,34.44588178666102,1.5,4,0.08,6.245664945072422,0.24979356881297246
Switzerland,46,2.836537228943623,34.44588178666102,1.5,4,0.08,6.221655219814419,0.22702848781801824
Switzerland,47,3.136131627117827,34.44588178666102,1.5,4,0.08,6.539669657056261,0.21306421757908695
Switzerland,48,3.4673922478508388,34.44588178666102,1.5,4,0.08,6.706443621137202,0.19677391797024835
Switzerland,49,3.8336686251130416,34.44588178666102,1.5,4,0.08,6.751478348760502,0.17973369839876568
Switzerland,50,4.238664878710772,34.44588178666102,1.5,4,0.08,6.686749452104132,0.16247855577440376
Switzerland,51,4.686477261632717,34.44588178666102,1.5,4,0.08,6.831491654166146,0.14952542702990118
Switzerland,52,5.181635715297531,34.44588178666102,1.5,4,0.08,6.847036979142756,0.1359776041661106
Switzerland,53,5.7291498220574155,34.44588178666102,1.5,4,0.08,7.00622212552901,0.1251296276151877
Switzerland,54,6.334559635905634,34.44588178666102,1.5,4,0.08,7.031269683051754,0.11379754118965574
Switzerland,55,7.00399187388949,34.44588178666102,1.5,4,0.08,7.15074096670888,0.10424984689337084
Switzerland,56,7.7442221253636205,34.44588178666102,1.5,4,0.08,7.1413139345192445,0.09448175283875761
Switzerland,57,8.562743615989291,34.44588178666102,1.5,4,0.08,7.194446938256529,0.0860339852535629
Switzerland,58,9.467843268875356,34.44588178666102,1.5,4,0.08,7.282659221739128,0.07853324027173911
Switzerland,59,10.468685842072887,34.44588178666102,1.5,4,0.08,7.3829771311603025,0.07171884417034048
Switzerland,60,11.575407004210376,34.44588178666102,1.5,4,0.08,7.355975493226325,0.06485689278802372
Switzerland,61,12.799216270484393,34.44588178666102,1.5,4,0.08,7.335378765102333,0.05866091449168827
Switzerland,62,14.1525108539077,34.44588178666102,1.5,4,0.08,7.415089739359382,0.05345908116132818
Switzerland,63,15.649001641217751,34.44588178666102,1.5,4,0.08,7.4615639950694135,0.04858318793285273
Switzerland,64,17.303852463493257,34.44588178666102,1.5,4,0.08,7.472086417049329,0.044027798755437615
Switzerland,65,19.133834232159558,34.44588178666102,1.5,4,0.08,7.445095596360231,0.03978454071827303
Switzerland,66,21.157495378978666,34.44588178666102,1.5,4,0.08,7.52471880414775,0.036248437800820835
Switzerland,67,23.395350402003203,34.44588178666102,1.5,4,0.08,7.556523982630151,0.03294735669663392
Switzerland,68,25.870088444122246,34.44588178666102,1.5,4,0.08,7.6320520160471075,0.030145690982032305
Switzerland,69,28.60680400140717,34.44588178666102,1.5,4,0.08,7.7957767552404595,0.027966159486586255
Switzerland,70,31.63325212651239,34.44588178666102,1.5,4,0.08,8.180908105595975,0.026694825671360504
Switzerland,71,34.98013075084111,34.44588178666102,1.5,4,0.08,8.859952391926296,0.026464486168102007
Switzerland,72,38.68139296228071,34.44588178666102,1.5,4,0.08,10.137810567498589,0.027774500205162884
Switzerland,73,42.774592479187106,34.44588178666102,1.5,4,0.08,12.24255719099724,0.030971231931121876
Switzerland,74,47.30126577454797,34.44588178666102,1.5,4,0.08,15.95796716445777,0.037208873543427286
Switzerland,75,52.307354853517154,34.44588178666102,1.5,4,0.08,22.295667322686853,0.04796321469073615
Switzerland,76,57.843674886224676,34.44588178666102,1.5,4,0.08,33.63858096014374,0.06647368830986505
Switzerland,77,63.96643155620063,34.44588178666102,1.5,4,0.08,44.219898181785695,0.08661302240838817
Switzerland,78,70.73779335807751,34.44588178666102,1.5,4,0.08,53.629096618690895,0.10546913150038255
Switzerland,79,78.22652473591597,34.44588178666102,1.5,4,0.08,62.38890374010367,0.12302385519058852
Switzerland,80,86.50868646006745,34.44588178666102,1.5,4,0.08,70.1458260723592,0.13856878972416672
Switzerland,81,95.66841048936476,34.44588178666102,1.5,4,0.08,76.69319958435327,0.15168977872615885
Switzerland,82,105.7987571468716,34.44588178666102,1.5,4,0.08,81.95292443508824,0.1622303094891548
Switzerland,83,117.00266343401563,34.44588178666102,1.5,4,0.08,85.94421707095447,0.17022889192576046
Switzerland,84,129.39399214807622,34.44588178666102,1.5,4,0.08,88.74939578150916,0.17585049254811455
Switzerland,85,143.09869253464672,34.44588178666102,1.5,4,0.08,90.48386174251563,0.17932637623750627
Switzerland,86,158.25608434153878,34.44588178666102,1.5,4,0.08,91.2739784099115,0.18090977637256814
Switzerland,87,175.02027842908706,34.44588178666102,1.5,4,0.08,91.24328798386817,0.18084827251276187
Switzerland,88,193.56174839140954,34.44588178666102,1.5,4,0.08,90.50560933272928,0.1793699585826238
Switzerland,89,214.0690693945171,34.44588178666102,1.5,4,0.08,89.16284305118945,0.17667904419076044
Switzerland,90,236.75084192158602,34.44588178666102,1.5,4,0.08,87.30545254494544,0.17295681872734556
Switzerland,91,261.8378201103442,34.44588178666102,1.5,4,0.08,85.01410561066125,0.16836494110352956
Switzerland,92,289.58526656224694,34.44588178666102,1.5,4,0.08,82.36152544475645,0.16304914918788868
Switzerland,93,320.27555764564386,34.44588178666102,1.5,4,0.08,79.41404568598843,0.1571423761242253
Switzerland,94,354.22106598226037,34.44588178666102,1.5,4,0.08,76.23271595363023,0.15076696583893834
Switzerland,95,391.7673496830457,34.44588178666102,1.5,4,0.08,72.87390398830281,0.1440358797360778
Switzerland,96,433.29668095766147,34.44588178666102,1.5,4,0.08,69.38955680941679,0.13705322005895149
Switzerland,97,479.23195026543635,34.44588178666102,1.5,4,0.08,65.82719893553576,0.12991422632371896
Switzerland,98,530.0409860738318,34.44588178666102,1.5,4,0.08,62.229810971179965,0.12270503200637267
Switzerland,99,586.2413343688677,34.44588178666102,1.5,4,0.08,58.63570233622009,0.11550240949142303
Switzerland,100,648.4055470948715,34.44588178666102,1.5,4,0.08,55.07840015016968,0.10837354739512961
Switzerland,101,717.1670336466741,34.44588178666102,1.5,4,0.08,51.58667579922378,0.10137610380605967
Switzerland,102,793.2265354864448,34.44588178666102,1.5,4,0.08,48.18463002851866,0.09455837681065864
Switzerland,103,877.3592903330446,34.44588178666102,1.5,4,0.08,44.89190770061542,0.08795973487097279
Switzerland,104,970.4229594793869,34.44588178666102,1.5,4,0.08,,
Switzerland,105,1073.3663996545547,34.44588178666102,1.5,4,0.08,,
Switzerland,106,1187.2393695849914,34.44588178666102,1.5,4,0.08,,
Switzerland,107,1313.203271017299,34.44588178666102,1.5,4,0.08,,
Switzerland,108,1452.5430347630718,34.44588178666102,1.5,4,0.08,,
Switzerland,109,1606.6802740798848,34.44588178666102,1.5,4,0.08,,
Switzerland,110,1777.187841005678,34.44588178666102,1.5,4,0.08,,
Switzerland,111,1965.8059357040438,34.44588178666102,1.5,4,0.08,,
Switzerland,112,2174.459935259776,34.44588178666102,1.5,4,0.08,,
Switzerland,113,2405.280126292688,34.44588178666102,1.5,4,0.08,,
Switzerland,114,2660.623545810842,34.44588178666102,1.5,4,0.08,,
Switzerland,115,2943.098157080709,34.44588178666102,1.5,4,0.08,,
Switzerland,116,3255.5896120408725,34.44588178666102,1.5,4,0.08,,
Switzerland,117,3601.2908797173586,34.44588178666102,1.5,4,0.08,,
Switzerland,118,3983.7350509389,34.44588178666102,1.5,4,0.08,,
Switzerland,119,4406.831664504658,34.44588178666102,1.5,4,0.08,,
Switzerland,120,4874.906939111606,34.44588178666102,1.5,4,0.08,,
Switzerland,0,0.02479675692557107,28.527397489308626,1.5,4,0.16,,
Switzerland,1,0.03160521400147204,28.527397489308626,1.5,4,0.16,,
Switzerland,2,0.034891428302150314,28.527397489308626,1.5,4,0.16,,
Switzerland,3,0.03792822655945395,28.527397489308626,1.5,4,0.16,,
Switzerland,4,0.04199991177066725,28.527397489308626,1.5,4,0.16,,
Switzerland,5,0.04651290635980984,28.527397489308626,1.5,4,0.16,,
Switzerland,6,0.05139078018688617,28.527397489308626,1.5,4,0.16,,
Switzerland,7,0.05679317205407397,28.527397489308626,1.5,4,0.16,,
Switzerland,8,0.06278085384889526,28.527397489308626,1.5,4,0.16,,
Switzerland,9,0.06939640373456613,28.527397489308626,1.5,4,0.16,,
Switzerland,10,0.07670734147864156,28.527397489308626,1.5,4,0.16,,
Switzerland,11,0.0847898148914007,28.527397489308626,1.5,4,0.16,,
Switzerland,12,0.09372472364868722,28.527397489308626,1.5,4,0.16,,
Switzerland,13,0.10360162905332171,28.527397489308626,1.5,4,0.16,,
Switzerland,14,0.11452004827757667,28.527397489308626,1.5,4,0.16,,
Switzerland,15,0.1265899334244346,28.527397489308626,1.5,4,0.16,,
Switzerland,16,0.13993277236920165,28.527397489308626,1.5,4,0.16,1.9658485787052673,0.9658485787052673
Switzerland,17,0.15468290087660863,28.527397489308626,1.5,4,0.16,1.9373902703675256,0.9373902703675256
Switzerland,18,0.1709888622354323,28.527397489308626,1.5,4,0.16,1.8849725182800279,0.8849725182800279
Switzerland,19,0.18901487613905932,28.527397489308626,1.5,4,0.16,1.812438647861628,0.8124386478616279
Switzerland,20,0.20894250318737173,28.527397489308626,1.5,4,0.16,1.725226745260087,0.7252267452600869
Switzerland,21,0.23097249945877052,28.527397489308626,1.5,4,0.16,1.6296738798423882,0.6296738798423882
Switzerland,22,0.255326812635694,28.527397489308626,1.5,4,0.16,2.7687460865309808,0.8843730432654904
Switzerland,23,0.282250844084023,28.527397489308626,1.5,4,0.16,2.6720231109944876,0.8360115554972438
Switzerland,24,0.3120159363077075,28.527397489308626,1.5,4,0.16,2.5137995728458535,0.7568997864229268
Switzerland,25,0.34492207562029975,28.527397489308626,1.5,4,0.16,2.3128801640103887,0.6564400820051943
Switzerland,26,0.3813009781762462,28.527397489308626,1.5,4,0.16,3.3724419594338158,0.7908139864779385
Switzerland,27,0.4215193947163587,28.527397489308626,1.5,4,0.16,3.162891340250563,0.720963780083521
Switzerland,28,0.4659828461906592,28.527397489308626,1.5,4,0.16,2.867206218250267,0.6224020727500891
Switzerland,29,0.5151397116550838,28.527397489308626,1.5,4,0.16,3.7939568490678472,0.6984892122669618
Switzerland,30,0.5694857693056612,28.527397489308626,1.5,4,0.16,3.4513512908646287,0.6128378227161572
Switzerland,31,0.6295692000316899,28.527397489308626,1.5,4,0.16,4.214934895920715,0.6429869791841429
Switzerland,32,0.6959961361437257,28.527397489308626,1.5,4,0.16,3.7949225418107133,0.5589845083621426
Switzerland,33,0.7694368016841677,28.527397489308626,1.5,4,0.16,4.422069096714603,0.5703448494524338
Switzerland,34,0.850632277238013,28.527397489308626,1.5,4,0.16,4.898787258576534,0.5569696083680763
Switzerland,35,0.9404020052625768,28.527397489308626,1.5,4,0.16,4.366442648729685,0.48092037838995505
Switzerland,36,1.0396520911139113,28.527397489308626,1.5,4,0.16,4.733842127747718,0.4667302659684648
Switzerland,37,1.1493844560028315,28.527397489308626,1.5,4,0.16,4.993512111574626,0.4437235679527362
Switzerland,38,1.2707069910944124,28.527397489308626,1.5,4,0.16,5.156154674479746,0.41561546744797456
Switzerland,39,1.4048447754790843,28.527397489308626,1.5,4,0.16,5.226662425207782,0.3842420386552529
Switzerland,40,1.5531524702021997,28.527397489308626,1.5,4,0.16,5.91736051381251,0.3782585010625008
Switzerland,41,1.717128035402478,28.527397489308626,1.5,4,0.16,5.815824373607433,0.34398745525767377
Switzerland,42,1.8984279280984282,28.527397489308626,1.5,4,0.16,5.614587266639001,0.3076391511092667
Switzerland,43,2.0988838424086005,28.527397489308626,1.5,4,0.16,5.959118263057428,0.29171283900337813
Switzerland,44,2.3205212916857967,28.527397489308626,1.5,4,0.16,6.161634794605702,0.27166498918977383
Switzerland,45,2.5655801252709374,28.527397489308626,1.5,4,0.16,6.245664945072422,0.24979356881297246
Switzerland,46,2.836537228943623,28.527397489308626,1.5,4,0.16,6.221655219814419,0.22702848781801824
Switzerland,47,3.136131627117827,28.527397489308626,1.5,4,0.16,6.539669657056261,0.21306421757908695
Switzerland,48,3.4673922478508388,28.527397489308626,1.5,4,0.16,6.706443621137202,0.19677391797024835
Switzerland,49,3.8336686251130416,28.527397489308626,1.5,4,0.16,6.751478348760502,0.17973369839876568
Switzerland,50,4.238664878710772,28.527397489308626,1.5,4,0.16,6.686749452104132,0.16247855577440376
Switzerland,51,4.686477261632717,28.527397489308626,1.5,4,0.16,6.831491654166146,0.14952542702990118
Switzerland,52,5.181635715297531,28.527397489308626,1.5,4,0.16,6.847036979142756,0.1359776041661106
Switzerland,53,5.7291498220574155,28.527397489308626,1.5,4,0.16,7.00622212552901,0.1251296276151877
Switzerland,54,6.334559635905634,28.527397489308626,1.5,4,0.16,7.031269683051754,0.11379754118965574
Switzerland,55,7.00399187388949,28.527397489308626,1.5,4,0.16,7.15074096670888,0.10424984689337084
Switzerland,56,7.7442221253636205,28.527397489308626,1.5,4,0.16,7.1413139345192445,0.09448175283875761
Switzerland,57,8.562743615989291,28.527397489308626,1.5,4,0.16,7.194446938256529,0.0860339852535629
Switzerland,58,9.467843268875356,28.527397489308626,1.5,4,0.16,7.282659221739128,0.07853324027173911
Switzerland,59,10.468685842072887,28.527397489308626,1.5,4,0.16,7.3829771311603025,0.07171884417034048
Switzerland,60,11.575407004210376,28.527397489308626,1.5,4,0.16,7.355975493226325,0.06485689278802372
Switzerland,61,12.799216270484393,28.527397489308626,1.5,4,0.16,7.335378765102333,0.05866091449168827
Switzerland,62,14.1525108539077,28.527397489308626,1.5,4,0.16,7.415089739359382,0.05345908116132818
Switzerland,63,15.649001641217751,28.527397489308626,1.5,4,0.16,7.4615639950694135,0.04858318793285273
Switzerland,64,17.303852463493257,28.527397489308626,1.5,4,0.16,7.472086417049329,0.044027798755437615
Switzerland,65,19.133834232159558,28.527397489308626,1.5,4,0.16,7.445095596360231,0.03978454071827303
Switzerland,66,21.157495378978666,28.527397489308626,1.5,4,0.16,7.52471880414775,0.036248437800820835
Switzerland,67,23.395350402003203,28.527397489308626,1.5,4,0.16,7.556523982630151,0.03294735669663392
Switzerland,68,25.870088444122246,28.527397489308626,1.5,4,0.16,7.6320520160471075,0.030145690982032305
Switzerland,69,28.60680400140717,28.527397489308626,1.5,4,0.16,7.7957767552404595,0.027966159486586255
Switzerland,70,31.63325212651239,28.527397489308626,1.5,4,0.16,8.180908105595975,0.026694825671360504
Switzerland,71,34.98013075084111,28.527397489308626,1.5,4,0.16,8.859952391926296,0.026464486168102007
Switzerland,72,38.68139296228071,28.527397489308626,1.5,4,0.16,10.137810567498589,0.027774500205162884
Switzerland,73,42.774592479187106,28.527397489308626,1.5,4,0.16,12.24255719099724,0.030971231931121876
Switzerland,74,47.30126577454797,28.527397489308626,1.5,4,0.16,15.95796716445777,0.037208873543427286
Switzerland,75,52.307354853517154,28.527397489308626,1.5,4,0.16,22.295667322686853,0.04796321469073615
Switzerland,76,57.843674886224676,28.527397489308626,1.5,4,0.16,33.63858096014374,0.06647368830986505
Switzerland,77,63.96643155620063,28.527397489308626,1.5,4,0.16,44.219898181785695,0.08661302240838817
Switzerland,78,70.73779335807751,28.527397489308626,1.5,4,0.16,53.629096618690895,0.10546913150038255
Switzerland,79,78.22652473591597,28.527397489308626,1.5,4,0.16,62.38890374010367,0.12302385519058852
Switzerland,80,86.50868646006745,28.527397489308626,1.5,4,0.16,70.1458260723592,0.13856878972416672
Switzerland,81,95.66841048936476,28.527397489308626,1.5,4,0.16,76.69319958435327,0.15168977872615885
Switzerland,82,105.7987571468716,28.527397489308626,1.5,4,0.16,81.95292443508824,0.1622303094891548
Switzerland,83,117.00266343401563,28.527397489308626,1.5,4,0.16,85.94421707095447,0.17022889192576046
Switzerland,84,129.39399214807622,28.527397489308626,1.5,4,0.16,88.74939578150916,0.17585049254811455
Switzerland,85,143.09869253464672,28.527397489308626,1.5,4,0.16,90.48386174251563,0.17932637623750627
Switzerland,86,158.25608434153878,28.527397489308626,1.5,4,0.16,91.2739784099115,0.18090977637256814
Switzerland,87,175.02027842908706,28.527397489308626,1.5,4,0.16,91.24328798386817,0.18084827251276187
Switzerland,88,193.56174839140954,28.527397489308626,1.5,4,0.16,90.50560933272928,0.1793699585826238
Switzerland,89,214.0690693945171,28.527397489308626,1.5,4,0.16,89.16284305118945,0.17667904419076044
Switzerland,90,236.75084192158602,28.527397489308626,1.5,4,0.16,87.30545254494544,0.17295681872734556
Switzerland,91,261.8378201103442,28.527397489308626,1.5,4,0.16,85.01410561066125,0.16836494110352956
Switzerland,92,289.58526656224694,28.527397489308626,1.5,4,0.16,82.36152544475645,0.16304914918788868
Switzerland,93,320.27555764564386,28.527397489308626,1.5,4,0.16,79.41404568598843,0.1571423761242253
Switzerland,94,354.22106598226037,28.527397489308626,1.5,4,0.16,76.23271595363023,0.15076696583893834
Switzerland,95,391.7673496830457,28.527397489308626,1.5,4,0.16,72.87390398830281,0.1440358797360778
Switzerland,96,433.29668095766147,28.527397489308626,1.5,4,0.16,69.38955680941679,0.13705322005895149
Switzerland,97,479.23195026543635,28.527397489308626,1.5,4,0.16,65.82719893553576,0.12991422632371896
Switzerland,98,530.0409860738318,28.527397489308626,1.5,4,0.16,62.229810971179965,0.12270503200637267
